source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,manufacturing_features,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 01,1000x300 SHELF TOP,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,11,21/12/2023,1000.0,300.0,1000 x 300,300,,,,laser=True; fold=True; holes=1; slots=0; bends=2; finish=True,laser_cutting; folding; powder_coating; handling,,4758.48,1,0,2,1040.0,340.0,8.09,8.83,6.56,14.65,14.65
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 02,MIRRORED SMALL BRACKET,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,11,21/12/2023,1000.0,300.0,1000 x 300,300,,4.0,,laser=True; fold=True; holes=1; slots=0; bends=1; finish=True,laser_cutting; hole_machining; folding; powder_coating; handling,,4396.93,1,0,1,1040.0,340.0,8.09,10.07,7.4,15.49,15.49
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 03,SHELF BRACE,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,11,21/12/2023,1000.0,300.0,1000 x 300,300,135,,,laser=True; fold=True; holes=0; slots=0; bends=2; finish=True,laser_cutting; folding; powder_coating; handling,,5809.33,0,0,2,1040.0,340.0,8.09,9.05,6.74,14.83,14.83
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 04,FRONT L BRACKET,2,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,11,21/12/2023,1000.0,300.0,1000 x 300,300,,,,laser=True; fold=True; holes=1; slots=0; bends=1; finish=True,laser_cutting; folding; powder_coating; handling,,4506.18,1,0,1,1040.0,340.0,16.19,11.94,8.67,12.43,24.86
