source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 01,,1,detail,MILD STEEL,,"POWDER COATING PROPERTY OF SDI DISPLAYS LIMITED. THIS DRAWING, HARD COPY OR",SEE ASSEMBLY DRAWING,PROJECT,21/12/2023,300.0,,1000 x 300,300,,,,laser_cutting; folding; powder_coating; handling,,8651.78,0,0,51,,,,24.46,18.33,18.33,18.33
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 02,,1,detail,MILD STEEL,,"POWDER COATING PROPERTY OF SDI DISPLAYS LIMITED. THIS DRAWING, HARD COPY OR",SEE ASSEMBLY DRAWING,PROJECT,21/12/2023,300.0,,1000 x 300,300,,4.0,,laser_cutting; hole_machining; folding; powder_coating; handling,,7994.41,1,0,43,,,,23.53,17.55,17.55,17.55
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 03,,1,detail,MILD STEEL,,"POWDER COATING PROPERTY OF SDI DISPLAYS LIMITED. THIS DRAWING, HARD COPY OR",SEE ASSEMBLY DRAWING,PROJECT,21/12/2023,300.0,,1000 x 300,300,135,,,laser_cutting; folding; powder_coating; handling,,10562.41,0,0,45,,,,23.14,17.37,17.37,17.37
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 04,,1,detail,MILD STEEL,,"POWDER COATING PROPERTY OF SDI DISPLAYS LIMITED. THIS DRAWING, HARD COPY OR",SEE ASSEMBLY DRAWING,PROJECT,21/12/2023,300.0,,1000 x 300,300,,,,laser_cutting; folding; powder_coating; handling,,8193.06,0,0,32,,,,18.65,13.97,13.97,13.97
