source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,manufacturing_features,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-101,SHELF FRAME - FLAT,1,assembly,,,,,,,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=False,,,0.0,0,0,0,,,,0,0,0.0,0.0
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-102,TRAY INSERT - ASSEMBLY,1,assembly,,,,,,,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=False,,,0.0,0,0,0,,,,0,0,0.0,0.0
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-J01,PLYWOOD SUPPORT,1,detail,PLYWOOD,0.5; 1.0; 1.5; 2.0; 3,N/A,BIRCH GENERAL TOLERANCES,D,16/01/2025,4000.0,1000.0,,120; 1000; 1.0; 1.5; 4000; 2.0,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1721.73,0,0,0,4020.0,1020.0,,2.0,1.23,1.23,1.23
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-M01,FRAME WELDMENT,1,detail,MILD STEEL; TIMBER; STAINLESS STEEL; ALUMINIUM,0.5; 1.0; 1.5; 2.0; 3,POWDER COATED - SEMI-GLOSS; SEE ASSEMBLY DRAWING,BLACK - RAL 9005 GENERAL TOLERANCES; SEE ASSEMBLY DRAWING GENERAL TOLERANCES,1; D,16/01/2025,4000.0,1000.0,,120; 1000; 1.0; 1.5; 4000; 2.0,90,,,laser=True; fold=True; holes=0; slots=0; bends=1; finish=True,laser_cutting; hole_machining; folding; powder_coating; welding; handling,"DESCRIPTION QTY 1 11011-01-M01 FRAME WELDMENT 1 2 11011-01-M02 BRACKET 2 3 11011-01-M03 SUPPORT 2 2 1 3 LASER / FOLD TUBE HANGING HOLES 47 1 55 0 ° WELD TOP & BOTTOM INSIDE ONLY NO WELD ON OUTSIDE FACE; 1656.6 8 0 ° 90° 4.52 REFER TO 3D CAD MODELS FOR FURTHER DETAIL LASER / FOLD TUBE NOTE - 1ST OFFS MUST BE CHECKED 1.2 25.4 MAX LOADING: WEIGHT: 0g SPECIFICATION: MATERIAL: MILD STEEL FINISH: SEE ASSEMBLY DRAWING COLOUR: SEE ASSEMBLY DRAWING GENERAL TOLERANCES: FINISH SPECIFICATIONS: THIS DRAWING IS THE PROPERTY OF PROJECT DRAWING LINEAR DIMENSIONS UP TO 120mm +/-0.5mm • POWDERCOATING: BETWEEN 80 - 120 MICRON OVER 120mm UP TO 1000mm +/-1.0mm THICKNESS COVERAGE MARKS & SPENCER AND MAY NOT BE OVER 1000mm UP TO 2000mm +/-1.5mm • CHROME PLATING: NICKEL LAYER = 8 - 12 MICRON.; CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",5395.43,0,0,1,4020.0,1020.0,39.11,10.19,7.51,46.62,46.62
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-M02,BRACKET,2,detail,MILD STEEL; TIMBER; STAINLESS STEEL; ALUMINIUM,0.5; 1.0; 1.5; 2.0; 3,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING GENERAL TOLERANCES,D,16/01/2025,4000.0,1000.0,,120; 1000; 1.0; 1.5; 4000; 2.0,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1529.85,0,0,0,4020.0,1020.0,78.22,4.0,2.45,40.34,80.67
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-M03,SUPPORT,2,detail,MILD STEEL; TIMBER; STAINLESS STEEL; ALUMINIUM,0.5; 1.0; 1.5; 2.0; 3,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING GENERAL TOLERANCES,D,16/01/2025,4000.0,1000.0,,120; 1000; 1.0; 1.5; 4000; 2.0,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2022 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1199.8,0,0,0,4020.0,1020.0,78.22,4.0,2.45,40.34,80.67
UPC_0351797_Angled Bucket Shelf_11011-01-GA_RevB.PDF,11011-01-M04,TRAY INSET,1,detail,MILD STEEL; TIMBER; STAINLESS STEEL; ALUMINIUM,0.5; 1.0; 1.5; 2.0; 3,POWDER COATED - SEMI-GLOSS,BLACK - RAL 9005 GENERAL TOLERANCES,D,16/01/2025,4.0,3.5,4 x 3.5,120; 1000; 1.0; 1.5; 4000; 2.0,90,,,laser=False; fold=True; holes=0; slots=0; bends=2; finish=True,folding; powder_coating; welding; handling,,5678.32,0,0,2,24.0,23.5,0.01,4.6,3.18,3.19,3.19
