source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,manufacturing_features,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-101,FRAME ASSEMBLY,1,detail,,19.0,,,,,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=False,,,0.0,0,0,0,,,,0,0,0.0,0.0
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-M01,FRAME,1,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,POWDER COATING,M&S TINTED LACQUER - VALSPAR PD006768SM.90 [POWDER 227] GENERAL TOLERANCES; RAW GENERAL TOLERANCES,1,12/02/2026,19.0,19.0,19 x 19; 2 x 6.5,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,DESCRIPTION QTY 1 12265-03-M01 FRAME 1 2 12265-03-M02 GUSSET 2 3 12265-03-M03 BASE PLATE 1 4 12265-03-M04 HOOK 2 WELD BOTH SIDES OF GUSSET 2 DRESS FLUSH DRESS FLUSH 4 1 SECTION B-B SCALE 1 : 2,4531.1,0,0,0,59.0,59.0,,2.0,1.23,1.23,1.23
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-M02,GUSSET,2,detail,MILD STEEL,0.5; 1.0; 1.5; 2.0; 3,RAW,RAW GENERAL TOLERANCES,D,12/02/2026,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2024 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1173.18,0,0,0,,,,4.0,2.45,1.23,2.45
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-M03,BASE PLATE,1,detail,MILD STEEL,0.5; 1.0; 1.5; 2.0; 3,RAW,RAW GENERAL TOLERANCES,D,12/02/2026,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2024 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1253.44,0,0,0,,,,2.0,1.23,1.23,1.23
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-M04,HOOK,2,detail,MILD STEEL,0.5; 1.0; 1.5; 2.0; 3,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING GENERAL TOLERANCES,D,12/02/2026,,,,,33,,,laser=False; fold=True; holes=0; slots=0; bends=1; finish=True,folding; powder_coating; welding; handling,"CHROME PLATING - POLISHING SPECIFICATION IS 400 WELD SPECIFICATION: GRIT FINAL POLISH.; DRAWING No SCALE REV • RESISTANCE WELDING WIRE TO WIRE THE SET DOWN SHOULD BE 20% UNLESS CHINA MATERIAL SPECIFICATIONS: COPYRIGHT M&S PLC 2024 UNLESS OTHERWISE STATED S • A TA LW TE A D YS REMOVE BURRS AND SHARP CORNERS • • Q SP 19 C 5 C U U P P T T O O 3 3 m m m m T T H H IC IC K K F F O O R R P C O H W R D O E M R E , C Z O IN A C TE P D L A S T T E E E O L R HIGH QUALITY PAINT FINISH DO NOT SCALE FROM DRAWING.",1067.42,0,0,1,,,,6.6,4.4,2.2,4.4
0358171_HORTI CART HEADER FRAME_12265-03-GA_REV B.PDF,12265-03-SIGNAGE,,1,detail,TIMBER,0.5; 1.0; 1.5; 2.0; 3,N/A,N/A GENERAL TOLERANCES,D,12/02/2026,10.0,2.0,2 x 10,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=True,powder_coating; welding; handling,,1154.94,0,0,0,50.0,42.0,,2.0,1.23,1.23,1.23
