source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,manufacturing_features,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,9490-10-100,SA1 BATTERY SECURITY CASE WELD ASSEMBLY,1,assembly,,13,SEE ASSEMBLY DRAWING; POWDER COATED - TEXTURED,SEE ASSEMBLY DRAWING; LIME GREEN PANTONE 388 TEXTURE [POWDER175],4; 3; 467,24/10/2024,50.0,28.0,50 x 28; 9 x 5,13,,,,laser=False; fold=True; holes=9; slots=0; bends=182; finish=True,folding; welding; handling; powder_coating,"DESCRIPTION QTY 1 9490-10-100 SA1 BATTERY SECURITY CASE WELD ASSEMBLY 1 2 9490-10-201 TOP BRACKET 2 A 3 HAFELE: 235.76.203 - Cylinder Cam Lock, 13mm Thread 2 4 FIXING433 M6x12mm FLANGE BUTTON HEAD SCREW, BLACK 8 5 9490-10-301 BATTERY DISPLAY DOOR 1 6 FIXING M4x10mm C/SNK BOLT, BZP 6 7 FIXING M4 DOME NUT;",20666.4,9,0,182,70.0,48.0,,58.6,43.68,43.68,43.68
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,9490-10-101,OUTER CASING,2,,,13.0,,,,,,,,,,,,laser=False; fold=False; holes=0; slots=0; bends=0; finish=False,,,0.0,0,0,0,,,,0,0,0.0,0.0
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,9490-10-102,LINKING PLATE,2,assembly,MILD STEEL,13.0,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING,B,24/10/2024,9.0,5.0,9 x 5,,,,,laser=False; fold=True; holes=10; slots=0; bends=1; finish=True,folding; handling,,3801.9,10,0,1,29.0,25.0,0.36,4.2,2.88,1.62,3.24
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,9490-10-201,TOP BRACKET,2,assembly,MILD STEEL,13.0,POWDER COATED - TEXTURED,TLP-C599-S - LIME GREEN (PANTONE 388),B,24/10/2024,,,,,,,,laser=False; fold=True; holes=0; slots=0; bends=0; finish=True,folding; powder_coating; handling,,2019.51,0,0,0,,,,6.0,3.95,1.98,3.95
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,9490-10-301,BATTERY DISPLAY DOOR,1,assembly,,13.0,CNC,CLEAR,B,24/10/2024,6.0,5.0,6 x 5,,,,,laser=False; fold=True; holes=0; slots=0; bends=0; finish=True,folding; handling,,1828.36,0,0,0,26.0,25.0,,2.8,1.97,1.97,1.97
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,A-A,,1,assembly,,13.0,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING,DRG NO,02/02/22; 07/03/2022; 24/10/2024,,,,,,,,laser=False; fold=True; holes=4; slots=0; bends=49; finish=True,folding; welding; handling,,16727.25,4,0,49,,,,17.5,12.99,12.99,12.99
9490-10-100 GA BATTERY SECURITY DISPLAY_revB.PDF,E-E,,1,assembly,MILD STEEL,13.0,SEE ASSEMBLY DRAWING,SEE ASSEMBLY DRAWING,B,24/10/2024,6.0,5.0,6 x 5; 4 x 9.7; 4 x 7,,90,,,laser=False; fold=True; holes=2; slots=0; bends=2; finish=True,folding; handling,,8507.83,2,0,2,26.0,25.0,0.16,3.4,2.42,2.58,2.58
