source_file,part_number,description,quantity,page_roles,material,thickness_mm,finish,colour,revision,dates,overall_length_mm,overall_width_mm,overall_sizes_mm,dimensions_mm,angles_deg,hole_sizes_mm,slot_sizes_mm,operations,process_notes,estimated_cut_length_mm,estimated_hole_count,estimated_slot_like_features,estimated_bend_line_count,blank_length_mm,blank_width_mm,material_cost_gbp,total_time_min,unit_labour_cost_gbp,unit_total_cost_gbp,extended_total_cost_gbp
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 01,1000x300 SHELF TOP,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,,21/12/2023,1000.0,300.0,1000 x 300,300,,,,laser_cutting; folding; powder_coating; handling,,8651.78,0,0,51,1020.0,320.0,7.47,24.46,18.33,25.8,25.8
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 02,MIRRORED SMALL BRACKET,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,,21/12/2023,1000.0,300.0,1000 x 300,300,,4.0,,laser_cutting; hole_machining; folding; powder_coating; handling,,7994.41,1,0,43,1020.0,320.0,7.47,23.53,17.55,25.02,25.02
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 03,SHELF BRACE,1,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,,21/12/2023,1000.0,300.0,1000 x 300,300,135,,,laser_cutting; folding; powder_coating; handling,,10562.41,0,0,45,1020.0,320.0,7.47,23.14,17.37,24.84,24.84
1315-1000x300mm Shelf Assembly REV11.PDF,1315 - 04,FRONT L BRACKET,2,detail,MILD STEEL,1.2,POWDER COATING,SEE ASSEMBLY DRAWING,,21/12/2023,1000.0,300.0,1000 x 300,300,,,,laser_cutting; folding; powder_coating; handling,,8193.06,0,0,32,1020.0,320.0,14.94,32.3,24.03,19.48,38.97
